# lambda flux
# nm F$_{\lambda}$[W$m^{-2}\,nm^{-1}$]
462.90802388641276 1.8303684024244467e-18
463.00896936549555 1.801416395497873e-18
463.1099148445783 1.7681437944076663e-18
463.2108603236611 1.7305222238341912e-18
463.31180580274395 1.7682487697222984e-18
463.41275128182673 1.9350307461832727e-18
463.5136967609095 1.7833544817365207e-18
463.6146422399923 1.757624862771521e-18
463.7155877190751 1.7213629707604622e-18
463.81653319815786 1.7462170239513703e-18
463.91747867724064 1.7301268461395967e-18
464.0184241563235 1.7551384338652198e-18
464.11936963540626 1.7903049881043823e-18
464.22031511448904 1.7833142960672705e-18
464.3212605935718 1.7260831169356142e-18
464.4222060726546 1.6868333957579873e-18
464.52315155173744 1.7121273000487204e-18
464.62409703082017 1.768421739282631e-18
464.725042509903 1.7693150390897025e-18
464.8259879889858 1.7278368810829822e-18
464.92693346806857 1.7528698096708374e-18
465.02787894715135 1.6709013251471058e-18
465.12882442623413 1.7265724255452428e-18
465.22976990531697 1.8219957225181982e-18
465.3307153843997 1.7556484706937946e-18
465.43166086348253 1.740969224333309e-18
465.5326063425653 1.8434205143029243e-18
465.6335518216481 1.813714388453201e-18
465.7344973007309 1.7338328637158036e-18
465.83544277981366 1.748804499491684e-18
465.9363882588965 1.7437349431306326e-18
466.0373337379793 1.7980151168704453e-18
466.13827921706206 1.7847234970337874e-18
466.23922469614484 1.7993487870788085e-18
466.3401701752276 1.7967055132801327e-18
466.4411156543104 1.7258873220039756e-18
466.5420611333932 1.6994024817393628e-18
466.64300661247603 1.7580644815295514e-18
466.7439520915588 1.8266826174138493e-18
466.8448975706416 1.8346386688155515e-18
466.9458430497244 1.782417201608011e-18
467.04678852880716 1.7270381527088504e-18
467.14773400788994 1.7492075881059706e-18
467.2486794869727 1.7835899442736987e-18
467.34962496605556 1.8310075803264395e-18
467.45057044513834 1.8348317407023567e-18
467.5515159242211 1.7697967665429868e-18
467.6524614033039 1.7039348241063894e-18
467.7534068823867 1.7184181066363002e-18
467.8543523614695 1.7760304445937832e-18
467.95529784055225 1.7635989799294936e-18
468.0562433196351 1.7689621935072392e-18
468.15718879871787 1.7909830222838455e-18
468.25813427780065 1.7938679319107447e-18
468.35907975688343 1.7126793537761767e-18
468.4600252359662 1.6747403535866821e-18
468.56097071504905 1.7881788799235886e-18
468.66191619413183 1.7615771404705035e-18
468.7628616732146 1.731432603958075e-18
468.8638071522974 1.7521809569214587e-18
468.9647526313802 1.7579292522238764e-18
469.06569811046296 1.7438417017584643e-18
469.16664358954574 1.7162876942168363e-18
469.2675890686286 1.7347886119191056e-18
469.36853454771136 1.7835450640420415e-18
469.46948002679414 1.7260072965366555e-18
469.5704255058769 1.7008387466988438e-18
469.6713709849597 1.7065210498720677e-18
469.7723164640425 1.7303277047501372e-18
469.87326194312527 1.792741809072015e-18
469.9742074222081 1.838000821459457e-18
470.0751529012909 1.8381771487829813e-18
470.1760983803737 1.732857454855172e-18
470.27704385945646 1.722074777261782e-18
470.37798933853924 1.7422311332093514e-18
470.4789348176221 1.6915621926538968e-18
470.5798802967048 1.6828975340151462e-18
470.68082577578764 1.7124412536209695e-18
470.7817712548704 1.697964485389807e-18
470.8827167339532 1.7059704551384902e-18
470.983662213036 1.7335820069483387e-18
471.08460769211877 1.732283255457403e-18
471.1855531712016 1.7162198984895041e-18
471.2864986502844 1.7362947035089448e-18
471.38744412936717 1.7150087561392444e-18
471.48838960844995 1.6922794946377282e-18
471.58933508753273 1.7316167964769538e-18
471.6902805666155 1.6913950716448713e-18
471.7912260456983 1.6805054302998036e-18
471.89217152478113 1.7405664218966875e-18
471.9931170038639 1.7324247780595131e-18
472.0940624829467 1.765113590952665e-18
472.1950079620295 1.8149499851062796e-18
472.29595344111226 1.7672993891991727e-18
472.39689892019504 1.766202010783776e-18
472.4978443992778 1.8031097278381792e-18
472.59878987836066 1.8065559765346413e-18
472.69973535744344 1.7860699234489297e-18
472.8006808365262 1.7553022904145766e-18
472.901626315609 1.7182616527343436e-18
473.0025717946918 1.7083227776163151e-18
473.10351727377457 1.6924777095109733e-18
473.20446275285735 1.7130918573036136e-18
473.3054082319402 1.6823178234341032e-18
473.406353711023 1.665094044454372e-18
473.50729919010575 1.6985284339382202e-18
473.60824466918854 1.7129674841307595e-18
473.7091901482713 1.7539359986197373e-18
473.81013562735416 1.699940911765506e-18
473.9110811064369 1.6870031333331976e-18
474.0120265855197 1.7170186074435646e-18
474.1129720646025 1.712460562167578e-18
474.2139175436853 1.7033040181419972e-18
474.31486302276807 1.6696859703258775e-18
474.41580850185085 1.682189625716037e-18
474.5167539809337 1.700173712323193e-18
474.61769946001647 1.7199084454421268e-18
474.71864493909925 1.7390883865904524e-18
474.81959041818203 1.6959940935421213e-18
474.9205358972648 1.7192417018259427e-18
475.0214813763476 1.7288995980492571e-18
475.1224268554304 1.689731495981009e-18
475.2233723345132 1.6736049880391665e-18
475.324317813596 1.6933957745810226e-18
475.4252632926788 1.744863175626439e-18
475.52620877176156 1.7381916720549272e-18
475.62715425084434 1.7205042812825764e-18
475.7280997299271 1.7112522314542115e-18
475.8290452090099 1.6582901599628547e-18
475.92999068809274 1.658332597918684e-18
476.0309361671755 1.6773460934073697e-18
476.1318816462583 1.67382977000307e-18
476.2328271253411 1.7000222196544027e-18
476.33377260442387 1.6848773232404e-18
476.4347180835067 1.657034297261931e-18
476.53566356258943 1.7129448420594662e-18
476.6366090416723 1.6678438317283748e-18
476.73755452075505 1.6320304620104373e-18
476.83849999983784 1.6708713618955118e-18
476.9394454789206 1.646716092781873e-18
477.0403909580034 1.6186967715172735e-18
477.14133643708624 1.7054299879199478e-18
477.242281916169 1.7237982321276476e-18
477.3432273952518 1.7130053812162052e-18
477.4441728743346 1.6852580041043527e-18
477.54511835341737 1.5950546063940645e-18
477.64606383250015 1.6053840700283312e-18
477.74700931158293 1.6370233118076075e-18
477.84795479066577 1.6164422692832724e-18
477.94890026974855 1.6508106433684965e-18
478.04984574883133 1.6612783081523665e-18
478.1507912279141 1.6432820261374846e-18
478.2517367069969 1.6743980305867538e-18
478.3526821860797 1.7013499964873395e-18
478.45362766516246 1.7002318022824199e-18
478.5545731442453 1.6812754143481412e-18
478.6555186233281 1.6515625705593697e-18
478.75646410241086 1.7116566822851853e-18
478.85740958149364 1.7270214316238315e-18
478.9583550605764 1.7100087628359586e-18
479.05930053965926 1.688108330016991e-18
479.160246018742 1.6074484680304248e-18
479.2611914978248 1.6056468840042336e-18
479.3621369769076 1.6419540914171723e-18
479.4630824559904 1.6680628412093024e-18
